sentence_id,client_uid,doc_uid,label_E1,label_E2,label_E3,label_E4,label_E5
1138,C004,D02,c0,c1,c0,c1,c1
1139,C004,D02,c0,c3,c0,c2,c0
1140,C004,D02,c0,c1,c1,c1,c1
1157,C004,D02,c0,c1,c1,c1,c1
1164,C004,D02,c0,c1,c1,c1,c1
1166,C004,D02,c0,c1,c1,c1,c0
1168,C004,D02,c0,c1,c1,c1,c0
1186,C004,D02,c3,c1,c0,c0,c1
1195,C004,D02,c0,c3,,c0,c0
1221,C004,D02,c1,c1,c1,c1,c1
1234,C004,D02,c0,c0,c1,c1,c0
1256,C004,D02,c0,c0,c0,c1,c0
1290,C004,D03,c0,c1,c1,c1,c1
1300,C004,D03,c0,c1,c2,c2,c1
1302,C004,D03,c0,c2,c2,c2,c1
1304,C004,D03,c0,c1,c1,c1,c1
1306,C004,D03,c1,c1,c1,c1,c1
1308,C004,D03,c1,c0,c2,c0,c1
1314,C004,D03,c1,c1,c1,c1,c1
1315,C004,D03,c2,c1,c1,c3,c2
1320,C004,D03,c1,c1,c1,c3,c1
1321,C004,D03,c1,c1,c1,c1,c1
1331,C004,D03,c2,c1,c3,c3,c3
1338,C004,D03,c0,c3,c1,c3,c2
1344,C004,D03,c1,c3,c3,c3,c1
1345,C004,D03,c2,c3,c3,c3,c1
1388,C004,D04,c3,c3,c3,c1,c0
1399,C004,D04,c3,c0,c0,c0,c1
1404,C004,D04,c0,c1,c1,c0,c1
1452,C004,D04,c3,c0,c0,c1,c0
1482,C004,D04,c0,c1,c0,c1,c0
1508,C004,D04,c0,c1,c1,c0,c1
1627,C004,D04,c0,c3,c0,c0,c0
1666,C004,D04,c0,c0,c0,c0,c0
1678,C004,D04,c3,c1,c1,c2,c1
1681,C004,D04,c0,c1,c1,c2,c1
1709,C004,D04,c3,c0,c0,c0,c0
1861,C004,D04,c0,c0,c0,c0,c0
2112,C004,D04,c0,c1,c0,c0,c1
2175,C004,D04,c0,c0,c0,c0,c0
2185,C004,D04,c0,c1,c1,c1,c1
2204,C003,D40,c2,c2,c0,c2,c2
2223,C003,D01,c2,c0,c1,c2,c0
2227,C003,D01,c2,c2,c1,c2,c1
2238,C003,D01,c2,c1,c1,c1,c2
2254,C003,D01,c0,c0,c0,c2,c2
2260,C003,D01,c2,c2,c2,c2,c2
2261,C003,D01,c2,c1,c1,c1,c1
2262,C003,D01,c0,c3,c3,c3,c2
2294,C003,D17,c2,c0,,c2,c2
2314,C003,D02,c0,c3,c0,c2,c2
2316,C003,D02,c3,c1,c1,c3,c2
2317,C003,D02,c3,c3,c3,c3,c2
2321,C003,D02,c3,c1,c1,c2,c1
2322,C003,D02,c0,c2,c1,c2,c2
2323,C003,D02,c0,c3,c2,c2,c2
2332,C003,D03,c1,c1,,c1,c1
2341,C003,D03,c0,c2,c1,c0,c2
2344,C003,D03,c0,c0,c0,c2,c1
2360,C003,D04,c2,c2,c2,c0,c2
2368,C003,D04,c0,c2,c2,c2,c0
2410,C003,D06,c2,c3,c3,c2,c1
2413,C003,D06,c0,c3,c3,c3,c2
2414,C003,D06,c0,c0,c0,c0,c0
2416,C003,D06,c0,c3,c3,c3,c3
2419,C003,D06,c0,c3,c2,c3,c3
2429,C003,D08,c0,c2,c0,c2,c0
2435,C003,D08,c0,c1,,c1,c2
2437,C003,D08,c0,c0,c1,c0,c0
2440,C003,D08,c0,c3,c1,c2,c1
2441,C003,D08,c2,c1,c1,c2,c1
2455,C003,D10,c0,c2,c1,c2,c1
2463,C003,D10,c0,c1,c1,c1,c1
2480,C003,D11,,c1,c1,c1,c2
2523,C003,D12,c0,c0,c0,c0,c0
2526,C003,D12,c2,c1,c1,c0,c1
2533,C003,D12,c0,c0,c1,c1,c0
2549,C003,D13,c1,c0,c0,c0,c0
2570,C003,D14,c0,c1,c1,c2,c1
2623,C003,D15,c0,c0,c2,c0,c0
2678,C003,D19,c0,c0,c0,c0,c2
2688,C003,D20,c0,c2,c2,c2,c0
2704,C003,D20,c0,c0,c0,c0,c0
2741,C003,D21,c0,c2,c0,c0,c0
2757,C003,D21,c0,c0,c1,c1,c0
2783,C003,D21,c0,c1,c0,c0,c0
2798,C003,D21,c0,c0,c2,c0,c0
2975,C003,D21,c2,c1,c1,c1,c1
3005,C003,D21,c3,c3,c1,c3,c1
3066,C003,D21,c2,c0,c1,c1,c0
3085,C003,D22,c3,c2,c2,c0,c2
3321,C003,D23,c2,c2,c2,c2,c0
3348,C003,D23,c0,c2,c2,c2,c2
3418,C003,D24,c0,c2,c2,c2,c0
3464,C003,D25,c0,c0,c0,c2,c0
3467,C003,D25,c0,c0,c3,c0,c0
3479,C003,D26,c1,c2,c1,c2,c2
3489,C003,D26,c2,c1,c1,c1,c1
3526,C003,D26,c0,c0,c0,c0,c0
3538,C003,D26,c0,c0,c0,c0,c0
3539,C003,D26,c0,c1,c0,c0,c0
3547,C003,D26,c2,c2,c1,c1,c1
3562,C003,D26,c0,c0,c0,c0,c0
3572,C003,D26,c1,c1,c1,c2,c0
3592,C003,D26,c0,c0,c0,c0,c0
3595,C003,D26,c2,c2,c0,,c2
3637,C003,D26,c0,c0,c0,c0,c0
3675,C003,D27,c3,c3,c2,c0,c2
3784,C003,D32,c0,c2,c0,c2,c2
3828,C003,D33,c0,c0,c3,c0,c0
3831,C003,D33,c0,c2,c2,c2,c2
3842,C003,D33,c0,c2,c1,c1,c2
3847,C003,D33,c2,c1,c0,c1,c1
3994,C003,D34,c2,c2,c2,c1,c2
4012,C003,D34,c2,c2,c2,c1,c1
4017,C003,D34,c0,c0,c0,c2,c0
4023,C003,D34,c2,c1,c1,c1,c1
4029,C003,D34,c0,c2,c1,c1,c1
4039,C003,D35,c0,c0,c0,c1,c0
4041,C003,D35,c2,c2,c3,c1,c0
4058,C003,D35,c0,c0,c0,c0,
4074,C003,D35,c0,c2,c2,c2,c2
4080,C003,D35,c0,c1,c2,c2,c2
4112,C003,D36,c0,c0,c1,c0,c0
4117,C003,D36,c2,c3,c2,c3,c2
4121,C003,D36,c0,c1,c1,c1,c1
4150,C003,D31,c0,c2,c0,c2,c0
4188,C003,D31,c0,c1,c1,c2,c2
4189,C003,D31,c0,c2,c0,,c0
4202,C003,D31,c3,c3,c1,c3,c0
4209,C003,D31,c0,c0,c1,c3,c2
4212,C003,D31,c0,c3,c0,c3,c2
4275,C003,D31,c3,c3,c1,c0,c0
4276,C003,D31,,c3,c3,c3,c2
4363,C003,D38,c0,c2,c1,c2,c2
4379,C003,D39,c3,c2,c0,c1,c0
4382,C003,D39,c1,c1,c1,c1,c1
4401,C003,D39,c2,c1,c1,c3,c1
4404,C003,D39,c0,c0,c0,c0,c0
4419,C005,D01,c2,c1,c1,c3,c2
4426,C005,D02,c0,c2,c2,,c2
4430,C005,D02,c2,c2,c2,c2,c2
4438,C005,D02,c2,c2,c2,c3,c2
4440,C005,D02,c1,c0,c1,c1,c1
4443,C005,D02,c0,c0,c0,c0,c0
4444,C005,D02,c0,c0,c2,c2,c0
4450,C005,D02,c1,c2,c1,c2,c2
4456,C005,D02,c1,c0,c0,c0,c0
4463,C005,D02,c0,c1,c1,c1,c1
4479,C005,D02,c0,c0,c0,c0,c0
4480,C005,D02,c0,c0,c0,c0,c0
4485,C005,D02,c0,c1,c1,c1,c1
4505,C005,D03,c1,c0,c0,c0,c1
4507,C005,D03,c0,c0,c0,c2,c0
4535,C005,D04,c1,c0,c0,c0,c1
4540,C005,D04,c1,c0,c0,c0,c0
4542,C005,D05,c0,c2,c2,c2,c2
4543,C005,D05,c0,c3,c2,,c0
4548,C005,D05,c2,c1,c1,c0,c2
4550,C005,D05,c2,c1,c1,c0,c2
4552,C005,D05,c0,c2,c2,c2,c1
4554,C005,D05,c2,c1,c1,c1,c2
4555,C005,D05,c2,c1,c1,c2,c1
4556,C005,D05,c2,c1,c1,c2,c1
4561,C005,D05,c2,c2,c2,c2,c2
4566,C005,D06,c0,c2,c2,c2,c2
4568,C005,D06,c2,c2,c0,c2,c0
4569,C005,D06,c2,c2,c2,c1,c0
4573,C005,D06,c2,c2,c2,c1,c1
4579,C005,D06,c2,c2,c2,c2,c2
4582,C005,D06,c2,c1,c1,c1,c1
4583,C005,D07,c2,c1,c2,c2,c1
4585,C005,D07,c2,c1,c1,c1,c1
4586,C005,D07,c2,c1,c1,c0,c0
4588,C005,D07,c0,c1,c2,c1,c0
4594,C005,D07,c0,c1,c1,c0,c1
4596,C005,D07,c0,c0,c0,c2,c1
4600,C005,D07,c2,c1,c1,c1,c0
4601,C005,D07,c2,c2,c2,c2,c2
4604,C005,D07,c2,c1,c2,c2,c1
4610,C005,D09,c2,c2,c2,c2,c1
4617,C005,D09,c2,c1,c1,c0,c1
4623,C005,D09,c2,c0,c0,c2,c0
4626,C005,D09,c2,c1,c2,c2,c2
4627,C005,D09,c0,c0,c0,c1,c0
4632,C005,D09,c0,c2,c1,,c1
4635,C005,D09,c2,c1,c1,c3,c1
4636,C005,D09,c0,c2,c1,c2,c1
4637,C005,D09,c2,c1,c1,c1,c1
4638,C005,D09,c2,c1,c2,c2,c1
4639,C005,D09,c2,c1,c1,c2,c1
4642,C005,D09,c0,c0,c3,c0,c1
4644,C005,D09,c2,c2,c2,c2,c1
4648,C005,D09,c2,c2,c2,c2,c2
4649,C005,D09,c2,c1,c1,c0,c1
4650,C005,D09,c2,c2,c2,c2,c2
4651,C005,D09,c2,c2,c2,c2,c2
4655,C005,D09,c0,c1,c1,c2,c1
4657,C005,D09,c2,c1,c1,c0,c1
4658,C005,D09,c2,c1,c1,c1,c1
4666,C005,D09,c2,c0,c0,c0,c0
4680,C005,D08,c2,c1,c1,c2,c2
4684,C005,D08,c2,c1,c1,c1,c2
4685,C005,D08,c2,c1,c1,c2,c1
4692,C005,D08,c2,c1,c0,c2,c1
4693,C005,D08,c2,c1,c2,c2,c1
